Id2,Geography,Carto_CT,Total,Not Hispanic or Latino,White alone,Black alone,Amerindian  alone,Asian alone,Other alone,Hispanic or Latino,White Hispanic,Black Hispanic
36005000100,"Census Tract 1, Bronx County, New York",2000100,7411,5040,536,4267,22,125,1381,2371,928,242
36005000200,"Census Tract 2, Bronx County, New York",2000200,5058,1130,39,933,0,158,1262,3928,2626,300
36005000400,"Census Tract 4, Bronx County, New York",2000400,5944,1995,205,1701,30,54,1479,3949,2411,261
36005001600,"Census Tract 16, Bronx County, New York",2001600,6115,2242,226,1899,0,11,1209,3873,2459,421
36005001900,"Census Tract 19, Bronx County, New York",2001900,2817,1313,218,932,0,78,1283,1504,301,122
36005002000,"Census Tract 20, Bronx County, New York",2002000,9608,3781,132,3515,261,104,1620,5827,3212,985
36005002300,"Census Tract 23, Bronx County, New York",2002300,4733,1883,11,1768,130,0,2186,2850,618,147
36005002400,"Census Tract 24, Bronx County, New York",2002400,130,130,60,70,0,0,0,0,0,0
36005002500,"Census Tract 25, Bronx County, New York",2002500,5760,1343,141,1161,27,67,3550,4417,756,207
36005002701,"Census Tract 27.01, Bronx County, New York",2002701,2958,901,0,878,0,0,1882,2057,216,50
36005002702,"Census Tract 27.02, Bronx County, New York",2002702,4538,1562,80,1460,64,0,2419,2976,415,188
36005002800,"Census Tract 28, Bronx County, New York",2002800,5423,3209,74,2882,0,40,1477,2214,739,606
36005003100,"Census Tract 31, Bronx County, New York",2003100,1675,485,29,427,0,29,858,1190,326,113
36005003300,"Census Tract 33, Bronx County, New York",2003300,3693,1422,56,1193,124,0,2113,2271,297,16
36005003500,"Census Tract 35, Bronx County, New York",2003500,3821,1070,10,1060,36,0,2258,2751,421,151
36005003700,"Census Tract 37, Bronx County, New York",2003700,292,132,56,76,0,0,128,160,32,0
36005003800,"Census Tract 38, Bronx County, New York",2003800,1437,565,14,527,6,13,181,872,685,26
36005003900,"Census Tract 39, Bronx County, New York",2003900,6473,1477,443,1034,39,0,4412,4996,504,41
36005004001,"Census Tract 40.01, Bronx County, New York",2004001,1428,542,168,124,0,138,788,886,218,42
36005004100,"Census Tract 41, Bronx County, New York",2004100,5946,1382,97,1215,0,45,4377,4564,571,133
36005004200,"Census Tract 42, Bronx County, New York",2004200,7814,4183,359,3685,57,200,1465,3631,1963,192
36005004300,"Census Tract 43, Bronx County, New York",2004300,6190,1794,5,1597,35,62,3452,4396,822,357
36005004400,"Census Tract 44, Bronx County, New York",2004400,4446,1887,141,1573,17,173,1836,2559,498,329
36005004600,"Census Tract 46, Bronx County, New York",2004600,1876,704,46,646,0,0,481,1172,753,65
36005004800,"Census Tract 48, Bronx County, New York",2004800,4536,1238,51,1085,5,0,3210,3298,501,126
36005005001,"Census Tract 50.01, Bronx County, New York",2005001,5101,1562,62,1388,64,0,3286,3539,448,151
36005005002,"Census Tract 50.02, Bronx County, New York",2005002,5583,1489,71,1187,29,65,3135,4094,1097,149
36005005100,"Census Tract 51, Bronx County, New York",2005100,5721,1633,9,1472,122,30,3538,4088,554,193
36005005200,"Census Tract 52, Bronx County, New York",2005200,2151,659,8,630,30,8,1223,1492,311,41
36005005300,"Census Tract 53, Bronx County, New York",2005300,4167,2237,55,2124,40,4,1508,1930,387,172
36005005400,"Census Tract 54, Bronx County, New York",2005400,6463,1641,99,1243,477,114,3379,4822,979,528
36005005600,"Census Tract 56, Bronx County, New York",2005600,2608,967,21,628,34,25,1490,1641,412,86
36005005902,"Census Tract 59.02, Bronx County, New York",2005902,2757,949,146,631,0,36,1571,1808,378,186
36005006000,"Census Tract 60, Bronx County, New York",2006000,1328,361,22,260,0,61,842,967,147,16
36005006100,"Census Tract 61, Bronx County, New York",2006100,3869,3078,84,2932,0,20,589,791,160,173
36005006200,"Census Tract 62, Bronx County, New York",2006200,7268,2407,11,2205,58,164,3415,4861,1023,674
36005006300,"Census Tract 63, Bronx County, New York",2006300,4298,1455,349,817,25,232,2074,2843,663,271
36005006400,"Census Tract 64, Bronx County, New York",2006400,3309,1804,134,1351,34,74,1605,1505,287,108
36005006500,"Census Tract 65, Bronx County, New York",2006500,5471,1919,276,1547,0,84,2984,3552,627,180
36005006700,"Census Tract 67, Bronx County, New York",2006700,7314,2635,12,2570,0,53,4230,4679,487,187
36005006800,"Census Tract 68, Bronx County, New York",2006800,3435,1842,106,1279,62,390,1524,1593,204,63
36005006900,"Census Tract 69, Bronx County, New York",2006900,8351,3757,289,3170,30,108,4267,4594,622,189
36005007000,"Census Tract 70, Bronx County, New York",2007000,4899,2053,133,1160,46,460,2115,2846,1127,57
36005007100,"Census Tract 71, Bronx County, New York",2007100,2702,1003,58,870,7,34,1342,1699,297,171
36005007200,"Census Tract 72, Bronx County, New York",2007200,5520,3075,304,1029,92,1425,2205,2445,740,134
36005007300,"Census Tract 73, Bronx County, New York",2007300,4139,1503,72,1369,0,36,2127,2636,559,80
36005007400,"Census Tract 74, Bronx County, New York",2007400,3466,1274,90,1081,0,0,929,2192,1398,93
36005007500,"Census Tract 75, Bronx County, New York",2007500,6039,2396,85,2221,139,0,2797,3643,465,533
36005007600,"Census Tract 76, Bronx County, New York",2007600,5142,1772,213,863,14,554,2559,3370,935,175
36005007700,"Census Tract 77, Bronx County, New York",2007700,2087,517,42,463,12,0,1238,1570,232,167
36005007800,"Census Tract 78, Bronx County, New York",2007800,7035,2276,234,1387,0,422,3309,4759,1611,167
36005007900,"Census Tract 79, Bronx County, New York",2007900,7051,1856,20,1752,0,32,4267,5195,620,452
36005008300,"Census Tract 83, Bronx County, New York",2008300,6575,1466,29,1121,26,280,4112,5109,760,456
36005008400,"Census Tract 84, Bronx County, New York",2008400,2809,1087,52,647,129,231,580,1722,941,325
36005008500,"Census Tract 85, Bronx County, New York",2008500,6587,1347,53,1243,13,6,4744,5240,421,273
36005008600,"Census Tract 86, Bronx County, New York",2008600,4046,1262,47,1103,0,82,1353,2784,1526,135
36005008700,"Census Tract 87, Bronx County, New York",2008700,6093,1658,142,1376,65,20,3711,4435,523,355
36005008900,"Census Tract 89, Bronx County, New York",2008900,3373,811,53,746,49,12,1960,2562,399,186
36005009000,"Census Tract 90, Bronx County, New York",2009000,3877,1351,151,1038,36,48,913,2526,1479,304
36005009200,"Census Tract 92, Bronx County, New York",2009200,6202,2718,141,1055,0,914,3303,3484,1142,159
36005009300,"Census Tract 93, Bronx County, New York",2009300,6424,1942,50,1872,31,1,3964,4482,387,253
36005009600,"Census Tract 96, Bronx County, New York",2009600,2607,1226,158,586,22,426,989,1381,350,126
36005009800,"Census Tract 98, Bronx County, New York",2009800,5189,1553,103,1095,0,238,1287,3636,2224,390
36005011000,"Census Tract 110, Bronx County, New York",2011000,113,0,0,0,0,0,113,113,0,0
36005011502,"Census Tract 115.02, Bronx County, New York",2011502,4568,1554,34,1490,0,67,2489,3014,347,280
36005011700,"Census Tract 117, Bronx County, New York",2011700,1616,503,13,490,15,0,975,1113,94,83
36005011800,"Census Tract 118, Bronx County, New York",2011800,5220,4067,3646,161,0,246,883,1153,415,0
36005011900,"Census Tract 119, Bronx County, New York",2011900,5474,1725,22,1581,32,31,3130,3749,601,280
36005012101,"Census Tract 121.01, Bronx County, New York",2012101,2970,1065,99,842,7,29,1613,1905,347,116
36005012102,"Census Tract 121.02, Bronx County, New York",2012102,1561,224,16,202,0,0,1087,1337,227,117
36005012300,"Census Tract 123, Bronx County, New York",2012300,3995,1312,69,1190,3,39,2319,2683,281,246
36005012500,"Census Tract 125, Bronx County, New York",2012500,4510,1558,59,1380,56,77,2641,2952,443,45
36005012701,"Census Tract 127.01, Bronx County, New York",2012701,1982,542,46,390,29,77,1000,1440,315,138
36005012901,"Census Tract 129.01, Bronx County, New York",2012901,4504,1701,67,1539,0,43,2164,2803,494,268
36005013000,"Census Tract 130, Bronx County, New York",2013000,1520,694,637,52,0,0,434,826,384,110
36005013100,"Census Tract 131, Bronx County, New York",2013100,5240,1722,30,1641,0,7,2648,3518,520,469
36005013200,"Census Tract 132, Bronx County, New York",2013200,7202,3403,2002,1028,0,333,1621,3799,2101,208
36005013300,"Census Tract 133, Bronx County, New York",2013300,5934,2488,65,1934,229,237,2689,3446,706,191
36005013500,"Census Tract 135, Bronx County, New York",2013500,3717,1380,19,1285,11,106,1944,2337,436,199
36005013800,"Census Tract 138, Bronx County, New York",2013800,2480,1861,1624,85,0,132,356,619,335,0
36005014100,"Census Tract 141, Bronx County, New York",2014100,5795,2190,22,2063,48,31,3096,3605,451,194
36005014300,"Census Tract 143, Bronx County, New York",2014300,1193,786,62,663,0,37,296,407,90,64
36005014400,"Census Tract 144, Bronx County, New York",2014400,5417,2168,189,1856,0,111,1989,3249,892,622
