Year,Felonies,Infractions,Misdemeanors,Violations,Crim_Summonses,SQF,Felony_Crime_Complaints,Misdemeanor_Crime_Complaints,Violation_Crime_Complaints
2006,103308,2040,245508,19950,490349,506491,171254,288367,69405
2007,108617,4234,265464,23824,539997,472096,167051,302178,66080
2008,105810,2195,267733,24673,510967,540302,164092,302556,62080
2009,101114,2216,287411,29327,544678,581168,149790,301332,59874
2010,97524,1890,292227,29548,536047,601286,147653,303700,58614
2011,94188,1711,286335,29424,490650,685724,148268,294782,55434
2012,92819,1714,271834,28816,476826,532911,153941,292376,58205
2013,95776,2076,265001,29879,424940,191851,154100,282662,58788
2014,94720,2399,259606,30090,359636,45787,151444,277178,62996
2015,91535,1717,220169,24742,297748,22563,150497,264135,63231
2016,94422,1603,206663,10646,267950,12405,148896,261086,66785
2017,89134,1125,188643,5758,165093,11622,137867,254046,66310
2018,86543,723,154795,3017,89895,11009,141402,251536,71127
